age_house,age_garg,age_rem,lot_area,wood_deck_sf,open_porch_sf,lot_frontage,bsmtfin_sf_1,fireplaces,totrms_abvgrd,mas_vnr_area,full_bath,1st_flr_sf,total_bsmt_sf,garage_cars,garage_area,gr_liv_area,overall_qual,saleprice,ms_zoning,street,lot_shape,land_contour,utilities,condition_2,bldg_type,house_style,roof_matl,mas_vnr_type,exter_qual,bsmt_qual,bsmt_cond,kitchen_qual,garage_type,garage_finish,garage_qual,garage_cond,sale_type,neighborhood,exterior_1st,exterior_2nd
45,37.0,1,8450,416,144,65.0,553.0,1,5,0.0,1,894,894.0,1.0,336.0,894,5,138500,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,Sawyer,MetalSd,MetalSd
28,28.0,28,9600,474,120,80.0,1104.0,1,9,0.0,2,2524,2524.0,2.0,542.0,2524,8,278000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,WdShngl,None,Gd,Gd,TA,Gd,Attchd,Fin,TA,TA,WD ,NWAmes,BrkFace,BrkFace
11,11.0,10,9549,0,30,30.0,437.0,1,6,0.0,1,1494,1494.0,2.0,481.0,1494,8,270000,RL,Pave,IR1,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,None,Gd,Gd,Gd,Ex,Attchd,Fin,TA,TA,WD ,Veenker,BrkFace,BrkFace
55,55.0,55,10950,0,48,60.0,441.0,0,5,0.0,1,948,948.0,2.0,410.0,948,6,125000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,NAmes,Wd Sdng,Wd Sdng
2,2.0,1,10637,208,44,79.0,1288.0,1,7,336.0,2,1718,1705.0,3.0,826.0,1718,8,297000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,Stone,Gd,Ex,TA,Gd,Attchd,RFn,TA,TA,WD ,CollgCr,VinylSd,VinylSd
29,29.0,29,2665,104,26,41.0,548.0,1,6,0.0,2,925,757.0,1.0,336.0,1475,5,127000,RM,Pave,Reg,Lvl,AllPub,Norm,TwnhsE,2Story,CompShg,None,TA,TA,TA,TA,Attchd,RFn,TA,TA,WD ,MeadowV,CemntBd,CmentBd
33,33.0,33,11751,0,122,105.0,705.0,1,7,480.0,2,1844,1844.0,2.0,546.0,1844,6,190000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,Gd,TA,TA,Attchd,RFn,TA,TA,COD,NWAmes,Plywood,Plywood
34,34.0,34,9600,0,0,80.0,916.0,1,6,320.0,1,1242,1242.0,2.0,528.0,1242,7,175500,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,TA,TA,TA,Attchd,Unf,TA,TA,WD ,NWAmes,HdBoard,HdBoard
13,12.0,13,8428,256,0,60.0,420.0,0,5,0.0,1,990,990.0,1.0,384.0,990,5,146000,RL,Pave,IR2,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,Gd,Gd,TA,Detchd,Unf,TA,TA,WD ,CollgCr,VinylSd,VinylSd
43,43.0,43,9937,736,68,75.0,830.0,0,6,0.0,1,1256,1256.0,1.0,276.0,1256,5,147500,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,Gd,TA,TA,TA,Attchd,Fin,TA,TA,WD ,Edwards,HdBoard,HdBoard
43,43.0,43,11200,0,0,70.0,906.0,0,5,0.0,1,1040,1040.0,1.0,384.0,1040,5,129500,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,Sawyer,HdBoard,HdBoard
73,73.0,58,9670,0,0,100.0,210.0,2,9,40.0,1,983,608.0,2.0,786.0,1873,8,257076,RL,Pave,IR1,HLS,AllPub,Norm,1Fam,2Story,CompShg,Stone,TA,TA,Fa,TA,Detchd,Fin,Fa,TA,WD ,Crawfor,BrkFace,Stucco
68,32.0,49,10998,0,68,60.0,408.0,0,6,0.0,2,984,984.0,2.0,660.0,1604,5,117000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1.5Fin,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,Edwards,Wd Sdng,Wd Sdng
56,56.0,56,9920,0,0,80.0,354.0,0,6,110.0,1,1063,1056.0,1.0,280.0,1063,5,128000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,Stone,TA,TA,TA,TA,Attchd,RFn,TA,TA,WD ,NAmes,HdBoard,HdBoard
81,28.0,59,7804,431,44,65.0,622.0,2,7,0.0,2,1328,1122.0,2.0,576.0,1981,4,135000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1.5Fin,CompShg,None,TA,TA,TA,Gd,Detchd,Unf,TA,TA,WD ,SWISU,WdShing,Plywood
28,28.0,28,16692,0,112,80.0,790.0,2,12,184.0,3,1392,1392.0,2.0,564.0,2784,7,250000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,BrkFace,TA,Gd,TA,Gd,Attchd,RFn,TA,TA,WD ,NWAmes,Plywood,Plywood
41,41.0,41,9364,379,36,80.0,371.0,0,7,143.0,1,663,663.0,1.0,299.0,1352,6,158000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,Stone,TA,TA,TA,TA,Attchd,Fin,TA,TA,WD ,Sawyer,HdBoard,HdBoard
6,6.0,5,2544,0,172,24.0,368.0,0,4,0.0,2,600,600.0,2.0,480.0,1200,7,149500,FV,Pave,Reg,Lvl,AllPub,Norm,Twnhs,2Story,CompShg,None,Gd,Gd,TA,Gd,Detchd,RFn,TA,TA,WD ,Somerst,MetalSd,MetalSd
52,52.0,31,9888,0,0,82.0,486.0,0,5,0.0,1,936,936.0,1.0,240.0,936,5,121000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Attchd,Unf,TA,TA,WD ,NAmes,MetalSd,MetalSd
54,54.0,54,7942,0,0,68.0,85.0,0,6,0.0,1,1040,1040.0,1.0,293.0,1040,6,136000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Attchd,Fin,TA,TA,WD ,NAmes,Wd Sdng,Wd Sdng
11,11.0,3,11764,132,57,92.0,524.0,1,9,348.0,2,1164,1152.0,3.0,671.0,2270,8,290000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,BrkFace,Gd,Gd,TA,Gd,Attchd,Fin,TA,TA,WD ,NoRidge,VinylSd,VinylSd
0,0.0,0,9000,208,364,75.0,64.0,1,11,0.0,2,1184,1184.0,2.0,550.0,2610,8,303477,FV,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,Gd,Gd,TA,Ex,BuiltIn,Fin,TA,TA,New,Somerst,CemntBd,CmentBd
88,88.0,58,7308,0,0,81.0,360.0,1,6,0.0,1,960,936.0,1.0,225.0,1740,5,122250,RM,Pave,Reg,Lvl,AllPub,Norm,1Fam,1.5Fin,CompShg,None,Fa,TA,TA,Ex,Detchd,Unf,Fa,Fa,WD ,OldTown,WdShing,Wd Shng
54,54.0,54,8750,280,0,70.0,172.0,0,6,0.0,1,1382,1382.0,1.0,350.0,1382,5,153000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,Gd,Attchd,Unf,TA,TA,WD ,NAmes,AsbShng,AsbShng
77,77.0,12,4000,0,0,63.0,246.0,1,5,0.0,1,567,531.0,1.0,216.0,1098,7,148500,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,TA,Gd,TA,TA,Detchd,Unf,TA,TA,WD ,Crawfor,Wd Sdng,Wd Sdng
1,1.0,1,3013,142,20,43.0,16.0,1,6,145.0,2,1506,1362.0,2.0,440.0,1506,7,213490,RL,Pave,Reg,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,BrkFace,Gd,Gd,TA,Gd,Attchd,Fin,TA,TA,WD ,Blmngtn,VinylSd,VinylSd
1,1.0,0,17485,0,0,44.0,1346.0,2,5,96.0,1,1508,1508.0,2.0,572.0,1508,7,308030,RL,Pave,IR2,Lvl,AllPub,Norm,1Fam,1Story,CompShg,Stone,Gd,Gd,TA,Gd,Attchd,RFn,TA,TA,Con,Edwards,VinylSd,VinylSd
47,52.0,47,8910,0,0,79.0,655.0,1,6,0.0,1,1194,655.0,2.0,539.0,1194,6,159500,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,BuiltIn,Fin,TA,TA,WD ,NAmes,BrkFace,BrkFace
50,50.0,50,11600,0,0,80.0,443.0,0,12,361.0,2,1105,1105.0,2.0,480.0,2274,5,154300,RL,Pave,Reg,Lvl,AllPub,Norm,Duplex,2Story,CompShg,BrkFace,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,NAmes,MetalSd,MetalSd
97,87.0,57,4571,280,0,35.0,168.0,0,6,0.0,1,616,616.0,2.0,480.0,1232,5,114000,RM,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,Fa,Fa,WD ,OldTown,MetalSd,MetalSd
1,0.0,0,17423,0,60,63.0,1904.0,1,9,748.0,2,2234,2216.0,3.0,1166.0,2234,9,501837,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,Stone,Ex,Ex,TA,Ex,Attchd,Fin,TA,TA,New,StoneBr,VinylSd,VinylSd
38,23.0,3,9000,200,0,60.0,240.0,0,5,0.0,1,864,864.0,2.0,576.0,864,4,130000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,NAmes,VinylSd,VinylSd
11,11.0,11,4500,0,122,32.0,864.0,0,4,197.0,2,1189,1189.0,2.0,392.0,1189,6,160500,RM,Pave,Reg,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,BrkFace,TA,Ex,TA,TA,Attchd,RFn,TA,TA,WD ,Mitchel,VinylSd,VinylSd
0,0.0,0,6373,228,75,48.0,415.0,1,6,572.0,2,1666,1666.0,2.0,575.0,1666,9,310090,RL,Pave,Reg,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,BrkFace,Ex,Ex,Gd,Gd,Attchd,RFn,TA,TA,New,NridgHt,MetalSd,MetalSd
51,51.0,7,13300,261,0,70.0,377.0,0,4,0.0,1,928,928.0,1.0,252.0,928,5,132000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,Gd,TA,TA,Attchd,Unf,TA,TA,WD ,NAmes,Wd Sdng,Wd Sdng
40,40.0,40,9600,312,11,80.0,553.0,1,6,128.0,2,1336,1288.0,2.0,502.0,1336,5,163000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,Gd,TA,TA,Attchd,RFn,TA,TA,WD ,NWAmes,HdBoard,HdBoard
6,6.0,6,3215,0,172,30.0,280.0,0,4,120.0,2,600,600.0,2.0,480.0,1200,7,155000,FV,Pave,Reg,Lvl,AllPub,Norm,TwnhsE,2Story,CompShg,BrkFace,Gd,Gd,TA,Gd,Detchd,RFn,TA,TA,ConLD,Somerst,MetalSd,MetalSd
15,15.0,15,9109,140,32,70.0,36.0,0,6,0.0,2,754,754.0,2.0,495.0,1540,7,184000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,Gd,Gd,TA,Gd,Attchd,RFn,TA,TA,WD ,SawyerW,VinylSd,VinylSd
1,1.0,0,3523,0,60,80.0,60.0,0,5,30.0,2,1151,1141.0,2.0,484.0,1151,8,166000,FV,Pave,IR1,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,Stone,Gd,Gd,TA,Gd,Attchd,Fin,TA,TA,New,Somerst,VinylSd,VinylSd
49,49.0,49,15312,0,0,88.0,588.0,1,6,54.0,1,1138,1138.0,2.0,480.0,1138,6,148000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,SLvl,CompShg,BrkFace,TA,TA,TA,TA,Attchd,RFn,TA,TA,COD,Sawyer,Wd Sdng,Wd Sdng
51,41.0,51,7450,0,72,74.0,438.0,1,6,0.0,1,1074,894.0,2.0,396.0,1074,5,124000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,Gd,Detchd,Unf,TA,TA,WD ,NAmes,Wd Sdng,Wd Sdng
2,2.0,2,7313,203,47,60.0,1153.0,1,6,246.0,2,1561,1561.0,2.0,556.0,1561,9,277500,RL,Pave,Reg,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,BrkFace,Ex,Ex,TA,Ex,Attchd,Fin,TA,TA,WD ,NridgHt,MetalSd,MetalSd
11,11.0,11,10019,307,169,83.0,527.0,1,9,397.0,2,1358,1342.0,3.0,725.0,2726,8,350000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,BrkFace,Gd,Gd,TA,Gd,Attchd,RFn,TA,TA,WD ,NoRidge,VinylSd,VinylSd
4,4.0,4,15401,214,76,53.0,1337.0,1,7,296.0,2,1884,1884.0,3.0,670.0,1884,9,387000,RL,Pave,IR1,HLS,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,Ex,Ex,TA,Ex,Attchd,Fin,TA,TA,WD ,StoneBr,VinylSd,VinylSd
32,32.0,1,16280,280,90,103.0,1044.0,1,6,0.0,3,1671,1426.0,2.0,550.0,1671,8,290000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,Ex,Gd,Ex,Ex,Attchd,RFn,TA,TA,WD ,Veenker,VinylSd,VinylSd
8,8.0,7,12209,125,192,71.0,690.0,1,7,0.0,2,804,804.0,2.0,560.0,1961,6,215000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,TA,Ex,TA,Gd,BuiltIn,Fin,TA,TA,WD ,Mitchel,VinylSd,VinylSd
34,34.0,34,13110,140,153,79.0,962.0,0,6,144.0,2,1193,1153.0,2.0,501.0,1193,5,146500,RL,Pave,IR1,Lvl,AllPub,Feedr,2fmCon,1Story,CompShg,BrkFace,TA,Gd,TA,TA,Attchd,Fin,TA,TA,WD ,NWAmes,Plywood,Plywood
91,91.0,57,8520,88,15,60.0,168.0,1,10,0.0,2,1664,714.0,1.0,216.0,2526,6,136000,RM,Pave,Reg,Lvl,AllPub,Norm,1Fam,1.5Fin,CompShg,None,TA,TA,TA,Gd,Detchd,Unf,TA,TA,CWD,OldTown,Stucco,Stucco
70,70.0,59,6406,0,36,57.0,421.0,1,7,0.0,1,868,690.0,2.0,400.0,1558,5,150000,RM,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,OldTown,Wd Sdng,Wd Sdng
31,31.0,11,11088,0,0,80.0,832.0,1,7,144.0,2,1707,1140.0,2.0,479.0,1707,6,184000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,TA,TA,TA,Attchd,Fin,TA,TA,WD ,NWAmes,HdBoard,HdBoard
47,47.0,47,17755,0,140,134.0,176.0,2,6,132.0,1,1466,1466.0,2.0,528.0,1466,5,149900,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,TA,TA,Fa,Attchd,Fin,TA,TA,WD ,Edwards,HdBoard,Plywood
12,12.0,12,15426,276,99,65.0,821.0,0,7,0.0,2,928,928.0,2.0,470.0,1764,6,231500,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,TA,Gd,TA,Gd,Attchd,RFn,TA,TA,WD ,CollgCr,VinylSd,VinylSd
53,53.0,53,8750,0,35,70.0,435.0,0,6,0.0,1,1202,1202.0,1.0,304.0,1202,5,120000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Attchd,RFn,TA,TA,COD,NAmes,BrkFace,BrkFace
62,61.0,59,3500,0,35,50.0,312.0,0,5,0.0,1,720,720.0,1.0,240.0,1284,5,110000,RM,Pave,Reg,Lvl,AllPub,Norm,1Fam,1.5Fin,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,OldTown,AsbShng,AsbShng
9,9.0,8,8238,421,72,60.0,700.0,1,6,0.0,2,813,813.0,2.0,400.0,1525,6,183500,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,TA,TA,TA,TA,Attchd,Fin,TA,TA,WD ,Gilbert,VinylSd,VinylSd
41,41.0,41,6000,0,180,75.0,257.0,1,7,0.0,1,1092,624.0,1.0,288.0,1656,5,126000,RM,Pave,Reg,Lvl,AllPub,Norm,1Fam,SLvl,CompShg,None,Fa,Gd,TA,TA,Attchd,Unf,TA,TA,WD ,IDOTRR,HdBoard,Plywood
31,31.0,31,2529,0,38,24.0,378.0,0,4,0.0,2,1055,1055.0,2.0,440.0,1055,7,148500,RL,Pave,Reg,Lvl,AllPub,Norm,Twnhs,1Story,CompShg,None,TA,Gd,TA,TA,Attchd,Unf,TA,TA,WD ,NPkVill,Plywood,Brk Cmn
32,32.0,32,2349,0,28,24.0,389.0,1,6,0.0,2,855,855.0,2.0,440.0,1456,6,137900,RL,Pave,Reg,Lvl,AllPub,Norm,Twnhs,2Story,CompShg,None,TA,Gd,TA,TA,Attchd,Unf,TA,TA,WD ,NPkVill,Plywood,Brk Cmn
15,15.0,15,10846,122,30,32.0,1619.0,2,6,0.0,1,1719,1719.0,2.0,473.0,1719,8,324000,RL,Pave,IR1,Lvl,AllPub,Norm,TwnhsE,1Story,CompShg,None,Gd,Gd,TA,Gd,Attchd,Fin,TA,TA,Con,Veenker,BrkFace,BrkFace
35,35.0,35,1680,52,0,21.0,458.0,0,5,359.0,1,483,483.0,1.0,264.0,987,6,103400,RM,Pave,Reg,Lvl,AllPub,Norm,Twnhs,2Story,CompShg,BrkFace,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,BrDale,HdBoard,HdBoard
1,1.0,1,4590,156,73,34.0,24.0,1,6,108.0,2,1554,1554.0,2.0,627.0,1554,8,209500,RL,Pave,Reg,Lvl,AllPub,Norm,Twnhs,1Story,CompShg,Stone,Gd,Gd,Gd,Gd,Attchd,RFn,TA,TA,WD ,NridgHt,VinylSd,VinylSd
59,59.0,59,19138,0,0,140.0,120.0,0,4,0.0,1,864,864.0,2.0,400.0,864,4,141000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,Gilbert,VinylSd,VinylSd
56,56.0,12,9525,240,0,75.0,954.0,0,5,0.0,1,1172,1172.0,1.0,366.0,1172,5,128000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Attchd,Fin,TA,TA,WD ,Edwards,WdShing,Wd Shng
0,0.0,0,12853,160,192,57.0,1032.0,1,6,0.0,1,1418,1642.0,3.0,852.0,1418,8,267916,FV,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,Gd,Ex,Po,Gd,Attchd,RFn,TA,TA,New,Somerst,CemntBd,CmentBd
76,29.0,57,6240,0,0,52.0,425.0,1,6,0.0,1,959,884.0,1.0,560.0,1367,6,127500,RM,Pave,Reg,Lvl,AllPub,Norm,1Fam,1.5Fin,CompShg,None,TA,TA,Fa,TA,Detchd,Unf,TA,TA,WD ,BrkSide,Wd Sdng,Wd Sdng
27,27.0,27,12090,276,0,78.0,588.0,1,7,210.0,2,1422,1422.0,2.0,576.0,1422,6,175500,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,Gd,TA,Gd,Attchd,Fin,TA,TA,WD ,NWAmes,MetalSd,MetalSd
1,1.0,0,16056,214,108,85.0,240.0,1,11,208.0,3,1992,1992.0,3.0,716.0,2868,9,556581,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,2Story,CompShg,Stone,Gd,Ex,TA,Ex,BuiltIn,Fin,TA,TA,New,StoneBr,CemntBd,CmentBd
52,52.0,52,8400,114,0,70.0,189.0,2,6,0.0,1,1478,1478.0,2.0,442.0,1478,6,156500,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Attchd,RFn,TA,TA,WD ,NAmes,BrkFace,BrkFace
11,11.0,10,11250,275,170,90.0,685.0,1,8,0.0,2,950,930.0,2.0,610.0,1995,7,237000,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,None,Gd,Gd,Gd,Gd,Attchd,RFn,TA,TA,WD ,CollgCr,VinylSd,VinylSd
49,49.0,22,7535,12,285,70.0,111.0,0,5,0.0,1,912,912.0,1.0,297.0,912,5,120000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,TA,TA,TA,Attchd,Fin,TA,TA,WD ,NAmes,MetalSd,MetalSd
2,2.0,2,12216,120,23,88.0,918.0,0,6,0.0,2,1326,1326.0,2.0,388.0,1326,6,203000,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,None,TA,Gd,TA,Gd,Attchd,Fin,TA,TA,WD ,Gilbert,VinylSd,VinylSd
44,44.0,44,9760,328,128,80.0,674.0,0,7,360.0,1,798,780.0,2.0,442.0,1611,6,167900,RL,Pave,Reg,Lvl,AllPub,Norm,1Fam,2Story,CompShg,BrkFace,TA,TA,TA,TA,Attchd,RFn,TA,TA,WD ,NAmes,HdBoard,HdBoard
36,36.0,36,9873,0,288,60.0,789.0,0,6,160.0,1,960,960.0,2.0,576.0,960,4,129000,RL,Pave,Reg,Lvl,AllPub,Norm,2fmCon,1Story,CompShg,BrkFace,TA,TA,TA,TA,Detchd,Unf,TA,TA,WD ,BrkSide,HdBoard,HdBoard
49,49.0,10,10011,0,0,72.0,360.0,1,6,64.0,1,1236,1070.0,1.0,447.0,1236,5,134450,RL,Pave,IR1,Lvl,AllPub,Norm,1Fam,1Story,CompShg,BrkFace,TA,TA,TA,Gd,Attchd,Unf,TA,TA,WD ,NAmes,HdBoard,HdBoard
5,5.0,4,2448,0,27,36.0,573.0,0,6,106.0,2,764,764.0,2.0,474.0,1626,7,154000,RL,Pave,Reg,Lvl,AllPub,Norm,Twnhs,2Story,CompShg,Stone,Gd,Gd,TA,Gd,BuiltIn,RFn,TA,TA,WD ,NridgHt,VinylSd,Wd Shng
