id,lot_area,utilities,neighborhood,bldg_type,house_style,overall_qual,overall_cond,foundation,bsmtfin_type_2,total_bsmt_sf,heating,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,pool_area,mo_sold,sale_type,saleprice,age
1044,1680,AllPub,BrDale,Twnhs,2Story,6,5,CBlock,Unf,483.0,GasA,483,504,987,0.0,0.0,1,1,2,1,TA,4,0,Detchd,1.0,264.0,Y,0,0,0,0,7,COD,85400,37
2752,7488,AllPub,CollgCr,1Fam,1Story,7,5,PConc,Unf,1208.0,GasA,1208,0,1208,0.0,0.0,2,0,2,1,Gd,6,0,Attchd,2.0,632.0,Y,105,58,0,0,2,WD ,183600,1
807,26400,AllPub,SawyerW,1Fam,2Story,5,7,PConc,,0.0,GasA,1288,728,2016,0.0,0.0,1,0,4,1,TA,7,1,Attchd,2.0,576.0,P,0,0,0,0,6,WD ,131000,129
1177,2645,AllPub,Somerst,Twnhs,2Story,8,5,PConc,Unf,960.0,GasA,962,645,1607,1.0,0.0,2,1,3,1,Gd,7,0,Detchd,2.0,480.0,Y,169,0,0,0,12,ConLD,200000,9
1480,9627,AllPub,CollgCr,1Fam,1Story,7,5,PConc,Unf,1351.0,GasA,1361,0,1361,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,2.0,610.0,Y,0,50,0,0,6,WD ,193000,1
324,10114,AllPub,Mitchel,1Fam,1Story,5,5,PConc,Unf,1430.0,GasA,1430,0,1430,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,2.0,624.0,Y,0,0,0,0,3,WD ,173500,6
1311,4571,AllPub,OldTown,1Fam,2Story,5,5,BrkTil,Unf,624.0,GasA,624,720,1344,0.0,0.0,1,0,4,1,TA,7,0,Detchd,3.0,513.0,Y,0,0,96,0,5,COD,98000,92
770,8816,AllPub,Sawyer,1Fam,1Story,5,6,PConc,Unf,1121.0,GasA,1121,0,1121,1.0,0.0,1,0,3,1,TA,5,0,Detchd,2.0,480.0,Y,0,80,0,0,6,WD ,139000,46
2063,8197,AllPub,Sawyer,1Fam,1Story,6,5,CBlock,Unf,660.0,GasA,1285,0,1285,0.0,0.0,1,1,3,1,TA,7,1,Attchd,2.0,528.0,Y,138,0,0,0,4,WD ,143500,30
69,8640,AllPub,Somerst,1Fam,2Story,7,5,PConc,Unf,756.0,GasA,764,783,1547,0.0,0.0,2,1,3,1,Gd,7,0,Attchd,2.0,614.0,Y,169,45,0,0,6,Con,215200,1
2062,8724,AllPub,Sawyer,1Fam,1Story,5,5,CBlock,Unf,894.0,GasA,894,0,894,0.0,0.0,1,0,3,1,TA,5,1,Attchd,2.0,450.0,Y,0,0,0,0,5,WD ,129000,39
351,5664,AllPub,StoneBr,TwnhsE,1Story,8,5,PConc,Unf,1501.0,GasA,1659,0,1659,1.0,0.0,2,0,2,1,Ex,5,1,Attchd,2.0,499.0,Y,212,59,0,0,10,WD ,278000,9
2393,12867,AllPub,NridgHt,1Fam,2Story,8,5,PConc,Unf,1209.0,GasA,1209,1044,2253,0.0,0.0,2,1,3,1,Ex,8,1,Attchd,2.0,575.0,Y,243,142,0,0,7,New,344133,1
12,7980,AllPub,Gilbert,1Fam,1Story,6,7,PConc,Unf,1168.0,GasA,1187,0,1187,1.0,0.0,2,0,3,1,TA,6,0,Attchd,2.0,420.0,Y,483,21,0,0,3,WD ,185000,18
2339,34650,AllPub,Gilbert,2fmCon,1Story,5,5,CBlock,Unf,1056.0,GasA,1056,0,1056,1.0,0.0,1,0,3,1,TA,5,0,Attchd,2.0,572.0,Y,264,0,0,0,1,WD ,145000,51
624,10573,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Unf,1453.0,GasA,1453,0,1453,1.0,0.0,2,0,3,1,TA,6,1,Attchd,2.0,530.0,Y,0,49,0,0,4,WD ,187500,48
86,8450,AllPub,Sawyer,1Fam,1Story,5,8,CBlock,BLQ,894.0,GasA,894,0,894,1.0,0.0,1,0,3,1,TA,5,1,Detchd,1.0,336.0,Y,416,144,0,0,4,WD ,138500,45
1534,11700,AllPub,Crawfor,1Fam,1.5Fin,5,6,CBlock,Unf,942.0,GasA,1265,673,1938,0.0,0.0,2,0,4,1,Gd,7,1,Detchd,1.0,240.0,Y,0,40,0,0,7,WD ,198000,71
2243,8250,AllPub,IDOTRR,2fmCon,2Story,5,6,CBlock,Unf,957.0,GasA,1034,957,1991,0.0,0.0,2,0,4,2,TA,9,0,,0.0,0.0,N,0,0,133,0,6,WD ,119600,112
1957,8064,AllPub,NAmes,1Fam,1.5Fin,5,7,CBlock,Unf,672.0,GasA,672,252,924,0.0,0.0,1,0,3,1,TA,6,1,Detchd,2.0,576.0,Y,0,0,0,0,7,WD ,122900,58
380,9600,AllPub,NWAmes,1Fam,1Story,8,5,PConc,Unf,2524.0,GasA,2524,0,2524,1.0,0.0,2,1,4,1,Gd,9,1,Attchd,2.0,542.0,Y,474,120,0,0,7,WD ,278000,28
2860,11435,AllPub,Crawfor,1Fam,2Story,8,7,PConc,Unf,792.0,GasA,792,725,1517,0.0,0.0,1,0,3,1,Gd,7,2,Detchd,2.0,400.0,Y,0,0,0,0,6,WD ,230000,77
2517,9549,AllPub,Veenker,TwnhsE,1Story,8,5,PConc,GLQ,1494.0,GasA,1494,0,1494,1.0,0.0,1,1,2,1,Ex,6,1,Attchd,2.0,481.0,Y,0,30,0,0,4,WD ,270000,11
1933,10950,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Unf,948.0,GasA,948,0,948,0.0,0.0,1,0,2,1,TA,5,0,Detchd,2.0,410.0,N,0,48,0,0,4,WD ,125000,55
820,10637,AllPub,CollgCr,1Fam,1Story,8,5,PConc,Unf,1705.0,GasA,1718,0,1718,1.0,0.0,2,0,3,1,Gd,7,1,Attchd,3.0,826.0,Y,208,44,0,0,9,WD ,297000,2
675,9000,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Unf,160.0,GasA,1142,0,1142,0.0,0.0,1,0,2,1,TA,5,1,Basment,1.0,384.0,Y,0,28,64,0,4,WD ,113500,51
2910,2665,AllPub,MeadowV,TwnhsE,2Story,5,6,PConc,Rec,757.0,GasA,925,550,1475,0.0,0.0,2,0,4,1,TA,6,1,Attchd,1.0,336.0,Y,104,26,0,0,7,WD ,127000,29
21,11751,AllPub,NWAmes,1Fam,1Story,6,6,CBlock,Unf,1844.0,GasA,1844,0,1844,0.0,0.0,2,0,3,1,TA,7,1,Attchd,2.0,546.0,Y,0,122,0,0,1,COD,190000,33
1873,9600,AllPub,NWAmes,1Fam,1Story,7,6,CBlock,Unf,1242.0,GasA,1242,0,1242,0.0,0.0,1,1,3,1,TA,6,1,Attchd,2.0,528.0,Y,0,0,0,0,9,WD ,175500,34
2125,8428,AllPub,CollgCr,1Fam,1Story,5,7,PConc,Unf,990.0,GasA,990,0,990,1.0,0.0,1,0,3,1,TA,5,0,Detchd,1.0,384.0,Y,256,0,0,0,7,WD ,146000,13
1489,9937,AllPub,Edwards,1Fam,1Story,5,6,CBlock,LwQ,1256.0,GasA,1256,0,1256,1.0,0.0,1,1,3,1,TA,6,0,Attchd,1.0,276.0,Y,736,68,0,0,6,WD ,147500,43
2383,13891,AllPub,NridgHt,1Fam,1Story,10,5,PConc,Unf,2076.0,GasA,2076,0,2076,1.0,0.0,2,1,2,1,Ex,7,1,Attchd,3.0,850.0,Y,216,229,0,0,9,New,465000,0
983,9101,AllPub,Mitchel,1Fam,SFoyer,5,6,PConc,Unf,1097.0,GasA,1110,0,1110,1.0,0.0,1,0,1,1,Gd,4,1,Attchd,2.0,602.0,Y,303,30,0,0,7,WD ,165500,31
1325,12150,AllPub,OldTown,1Fam,1.5Fin,5,5,BrkTil,Unf,1050.0,GasA,1050,745,1795,0.0,0.0,2,0,4,1,TA,7,0,Attchd,1.0,352.0,Y,0,0,0,0,11,WD ,131500,54
1378,11200,AllPub,Sawyer,1Fam,1Story,5,5,CBlock,Unf,1040.0,GasA,1040,0,1040,1.0,0.0,1,0,3,1,TA,5,0,Detchd,1.0,384.0,Y,0,0,0,0,2,WD ,129500,43
1537,9670,AllPub,Crawfor,1Fam,2Story,8,6,PConc,Unf,608.0,GasA,983,890,1873,0.0,0.0,1,1,4,1,TA,9,2,Detchd,2.0,786.0,Y,0,0,207,0,6,WD ,257076,73
905,10998,AllPub,Edwards,1Fam,1.5Fin,5,5,CBlock,BLQ,984.0,GasA,984,620,1604,0.0,0.0,2,0,3,1,TA,6,0,Detchd,2.0,660.0,Y,0,68,0,0,7,WD ,117000,68
1532,7200,AllPub,Crawfor,1Fam,2Story,7,6,BrkTil,Unf,776.0,GasA,851,651,1502,0.0,0.0,1,1,3,1,TA,6,1,Attchd,1.0,270.0,P,0,0,112,0,2,WD ,149000,77
132,9920,AllPub,NAmes,1Fam,1Story,5,5,CBlock,LwQ,1056.0,GasA,1063,0,1063,1.0,0.0,1,0,3,1,TA,6,0,Attchd,1.0,280.0,Y,0,0,164,0,2,WD ,128000,56
1078,2448,AllPub,NridgHt,Twnhs,2Story,7,5,PConc,Unf,764.0,GasA,764,862,1626,0.0,0.0,2,1,2,1,Gd,6,0,BuiltIn,2.0,474.0,Y,0,27,0,0,10,WD ,155000,5
2511,2998,AllPub,Somerst,TwnhsE,2Story,6,5,PConc,Unf,756.0,GasA,768,756,1524,0.0,0.0,2,1,2,1,Gd,4,0,Detchd,2.0,440.0,Y,0,32,0,0,6,WD ,166000,6
912,7804,AllPub,SWISU,1Fam,1.5Fin,4,3,BrkTil,Unf,1122.0,GasA,1328,653,1981,1.0,0.0,2,0,4,1,Gd,7,2,Detchd,2.0,576.0,Y,431,44,0,0,12,WD ,135000,81
2351,16692,AllPub,NWAmes,1Fam,2Story,7,5,CBlock,LwQ,1392.0,GasA,1392,1392,2784,1.0,0.0,3,1,5,1,Gd,12,2,Attchd,2.0,564.0,Y,0,112,0,519,7,WD ,250000,28
330,1476,AllPub,MeadowV,Twnhs,2Story,4,7,CBlock,Unf,546.0,GasA,546,546,1092,0.0,0.0,1,1,3,1,TA,5,0,,0.0,0.0,Y,200,26,0,0,3,WD ,76000,40
2586,10170,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Unf,216.0,GasA,1575,0,1575,0.0,0.0,1,1,2,1,Gd,5,1,Attchd,2.0,400.0,Y,0,0,0,0,6,WD ,155000,55
224,9364,AllPub,Sawyer,1Fam,2Story,6,7,CBlock,Unf,663.0,GasA,663,689,1352,0.0,0.0,1,1,4,1,TA,7,0,Attchd,1.0,299.0,Y,379,36,0,0,3,WD ,158000,41
98,2544,AllPub,Somerst,Twnhs,2Story,7,5,PConc,ALQ,600.0,GasA,600,600,1200,1.0,0.0,2,1,2,1,Gd,4,0,Detchd,2.0,480.0,Y,0,172,0,0,2,WD ,149500,6
2565,9888,AllPub,NAmes,1Fam,1Story,5,6,CBlock,Unf,936.0,GasA,936,0,936,0.0,0.0,1,0,2,1,TA,5,0,Attchd,1.0,240.0,Y,0,0,160,0,3,WD ,121000,52
1934,7942,AllPub,NAmes,1Fam,1Story,6,7,CBlock,ALQ,1040.0,GasA,1040,0,1040,0.0,1.0,1,0,3,1,TA,6,0,Attchd,1.0,293.0,Y,0,0,0,0,6,WD ,136000,54
997,15038,AllPub,Gilbert,1Fam,2Story,6,5,PConc,Unf,916.0,GasA,916,720,1636,0.0,0.0,2,1,3,1,TA,7,1,Attchd,2.0,386.0,Y,168,84,0,0,11,WD ,173000,12
64,11764,AllPub,NoRidge,1Fam,2Story,8,7,PConc,Unf,1152.0,GasA,1164,1106,2270,0.0,0.0,2,1,4,1,Gd,9,1,Attchd,3.0,671.0,Y,132,57,0,0,4,WD ,290000,11
1799,9000,AllPub,Somerst,1Fam,2Story,8,5,PConc,Unf,1184.0,GasA,1184,1426,2610,0.0,0.0,2,1,4,1,Ex,11,1,BuiltIn,2.0,550.0,Y,208,364,0,0,8,New,303477,0
230,20062,AllPub,ClearCr,1Fam,1Story,7,7,CBlock,Unf,1420.0,GasA,1483,0,1483,1.0,0.0,1,1,1,1,TA,4,2,Attchd,2.0,690.0,Y,496,0,0,0,4,WD ,270000,33
1295,7308,AllPub,OldTown,1Fam,1.5Fin,5,5,BrkTil,Unf,936.0,GasA,960,780,1740,0.0,0.0,1,0,2,1,Ex,6,1,Detchd,1.0,225.0,N,0,0,236,0,6,WD ,122250,88
638,8750,AllPub,NAmes,1Fam,1Story,5,5,CBlock,LwQ,1382.0,GasA,1382,0,1382,0.0,1.0,1,0,3,1,Gd,6,0,Attchd,1.0,350.0,Y,280,0,0,0,7,WD ,153000,54
2278,8402,AllPub,Mitchel,1Fam,1Story,5,5,PConc,Unf,1120.0,GasA,1120,0,1120,0.0,0.0,1,0,3,1,TA,6,0,,0.0,0.0,Y,0,30,0,0,12,New,147000,0
2202,4000,AllPub,Crawfor,1Fam,2Story,7,8,BrkTil,Unf,531.0,GasA,567,531,1098,1.0,0.0,1,0,2,1,TA,5,1,Detchd,1.0,216.0,Y,0,0,0,0,6,WD ,148500,77
2833,3363,AllPub,Edwards,TwnhsE,2Story,7,5,PConc,Unf,976.0,GasA,976,732,1708,0.0,0.0,2,0,3,1,Gd,7,0,Detchd,2.0,380.0,Y,0,40,0,0,4,WD ,130000,2
1707,13615,AllPub,NridgHt,1Fam,1Story,9,5,PConc,Unf,1802.0,GasA,1802,0,1802,0.0,0.0,2,1,3,1,Ex,7,1,Attchd,3.0,843.0,Y,158,105,0,0,6,WD ,372000,1
2428,3013,AllPub,Blmngtn,TwnhsE,1Story,7,5,PConc,Unf,1362.0,GasA,1506,0,1506,0.0,0.0,2,0,2,1,Gd,6,1,Attchd,2.0,440.0,Y,142,20,0,0,4,WD ,213490,1
242,17485,AllPub,Edwards,1Fam,1Story,7,5,PConc,Unf,1508.0,GasA,1508,0,1508,1.0,0.0,1,0,1,1,Gd,5,2,Attchd,2.0,572.0,Y,0,0,0,0,1,Con,308030,1
1564,23730,AllPub,Mitchel,1Fam,1Story,7,5,PConc,Unf,1840.0,GasA,2032,0,2032,1.0,0.0,3,0,3,1,Gd,7,0,Attchd,3.0,786.0,Y,0,46,192,0,9,WD ,300000,12
2613,8910,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Unf,655.0,GasA,1194,0,1194,0.0,1.0,1,0,3,1,TA,6,1,BuiltIn,2.0,539.0,Y,0,0,192,0,7,WD ,159500,47
2832,2522,AllPub,Edwards,Twnhs,2Story,7,5,PConc,Unf,970.0,GasA,970,739,1709,0.0,0.0,2,0,3,1,Gd,7,0,Detchd,2.0,380.0,Y,0,40,0,0,4,WD ,137500,2
2459,8688,AllPub,Somerst,1Fam,1Story,7,5,PConc,Unf,1616.0,GasA,1616,0,1616,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,3.0,834.0,Y,208,59,0,0,4,WD ,232000,1
1360,6291,AllPub,IDOTRR,1Fam,1Story,6,6,BrkTil,Unf,768.0,GasA,768,0,768,0.0,0.0,1,0,1,1,TA,4,0,Detchd,2.0,440.0,N,0,0,84,0,7,WD ,93850,78
2723,17529,AllPub,Sawyer,1Fam,1Story,5,5,BrkTil,Unf,872.0,GasA,872,0,872,0.0,0.0,1,0,2,1,Fa,5,1,Detchd,1.0,322.0,N,0,0,116,0,4,WD ,105000,82
1350,6324,AllPub,BrkSide,1Fam,1Story,4,6,BrkTil,Unf,520.0,GasA,520,0,520,0.0,0.0,1,0,1,1,Fa,4,0,Detchd,1.0,240.0,Y,49,0,87,0,5,WD ,68500,81
136,11600,AllPub,NAmes,Duplex,2Story,5,5,CBlock,Unf,1105.0,GasA,1105,1169,2274,0.0,0.0,2,0,5,2,TA,12,0,Detchd,2.0,480.0,Y,0,0,0,0,1,WD ,154300,50
2235,7288,AllPub,IDOTRR,1Fam,1.5Fin,5,7,BrkTil,Unf,936.0,GasA,936,665,1601,0.0,0.0,2,0,3,1,TA,6,0,,0.0,0.0,N,0,0,0,0,9,WD ,129850,82
1993,4571,AllPub,OldTown,1Fam,2Story,5,7,BrkTil,Unf,616.0,GasA,616,616,1232,0.0,0.0,1,0,3,1,TA,6,0,Detchd,2.0,480.0,Y,280,0,143,0,6,WD ,114000,97
367,17423,AllPub,StoneBr,1Fam,1Story,9,5,PConc,Unf,2216.0,GasA,2234,0,2234,1.0,0.0,2,0,1,1,Ex,9,1,Attchd,3.0,1166.0,Y,0,60,0,0,7,New,501837,1
1309,12665,AllPub,OldTown,1Fam,1.5Fin,5,8,BrkTil,Unf,876.0,GasA,876,540,1416,0.0,0.0,1,1,4,1,TA,7,1,Detchd,3.0,720.0,Y,418,0,194,0,6,WD ,153900,93
402,9000,AllPub,NAmes,1Fam,1Story,4,7,CBlock,Unf,864.0,GasA,864,0,864,0.0,0.0,1,0,3,1,TA,5,0,Detchd,2.0,576.0,Y,200,0,0,0,7,WD ,130000,38
1592,4500,AllPub,Mitchel,TwnhsE,1Story,6,5,PConc,Unf,1189.0,GasA,1189,0,1189,1.0,0.0,2,0,2,1,TA,4,0,Attchd,2.0,392.0,Y,0,122,0,0,4,WD ,160500,11
2409,6373,AllPub,NridgHt,TwnhsE,1Story,9,5,PConc,Unf,1666.0,GasA,1666,0,1666,1.0,0.0,2,0,2,1,Gd,6,1,Attchd,2.0,575.0,Y,228,75,0,0,6,New,310090,0
539,10083,AllPub,SawyerW,1Fam,1Story,7,5,PConc,Unf,1176.0,GasA,1200,0,1200,1.0,0.0,2,0,2,1,Gd,5,0,Attchd,2.0,555.0,Y,0,41,0,0,8,WD ,184900,6
1940,13300,AllPub,NAmes,1Fam,1Story,5,7,CBlock,Unf,928.0,GasA,928,0,928,0.0,0.0,1,0,2,1,TA,4,0,Attchd,1.0,252.0,Y,261,0,156,0,6,WD ,132000,51
588,9600,AllPub,NWAmes,1Fam,1Story,5,5,CBlock,Rec,1288.0,GasA,1336,0,1336,0.0,1.0,2,0,3,1,TA,6,1,Attchd,2.0,502.0,Y,312,11,0,0,8,WD ,163000,40
96,3215,AllPub,Somerst,TwnhsE,2Story,7,5,PConc,Unf,600.0,GasA,600,600,1200,0.0,0.0,2,1,2,1,Gd,4,0,Detchd,2.0,480.0,Y,0,172,0,0,4,ConLD,155000,6
1187,11104,AllPub,NWAmes,1Fam,SLvl,6,6,CBlock,Unf,1427.0,GasA,1427,0,1427,0.0,1.0,2,0,4,1,TA,7,0,Attchd,2.0,516.0,Y,0,0,0,0,5,WD ,183000,39
2154,15295,AllPub,CollgCr,1Fam,2Story,7,5,PConc,Unf,860.0,GasA,1212,780,1992,1.0,0.0,2,1,3,1,Gd,7,2,Attchd,2.0,608.0,Y,225,32,0,0,6,WD ,211000,11
550,9109,AllPub,SawyerW,1Fam,2Story,7,5,PConc,GLQ,754.0,GasA,754,786,1540,1.0,0.0,2,1,3,1,Gd,6,0,Attchd,2.0,495.0,Y,140,32,0,0,10,WD ,184000,15
811,7018,AllPub,SawyerW,Duplex,1Story,5,5,Slab,,0.0,GasA,1535,0,1535,0.0,0.0,2,0,4,2,TA,8,0,Attchd,2.0,400.0,Y,0,0,0,0,6,WD ,118858,30
124,14112,AllPub,NAmes,1Fam,SLvl,5,7,PConc,Unf,1152.0,GasA,1152,0,1152,1.0,0.0,1,0,3,1,TA,6,1,Attchd,2.0,484.0,Y,227,0,0,0,4,WD ,180500,46
1836,3523,AllPub,Somerst,TwnhsE,1Story,8,5,PConc,Unf,1141.0,GasA,1151,0,1151,1.0,0.0,2,0,2,1,Gd,5,0,Attchd,2.0,484.0,Y,0,60,0,0,2,New,166000,1
779,15312,AllPub,Sawyer,1Fam,SLvl,6,5,CBlock,Unf,1138.0,GasA,1138,0,1138,0.0,1.0,1,0,3,1,TA,6,1,Attchd,2.0,480.0,Y,0,0,0,0,3,COD,148000,49
1886,7450,AllPub,NAmes,1Fam,1Story,5,5,CBlock,LwQ,894.0,GasA,1074,0,1074,0.0,0.0,1,0,2,1,Gd,6,1,Detchd,2.0,396.0,Y,0,72,0,0,1,WD ,124000,51
1724,7313,AllPub,NridgHt,TwnhsE,1Story,9,5,PConc,Unf,1561.0,GasA,1561,0,1561,1.0,0.0,2,0,2,1,Ex,6,1,Attchd,2.0,556.0,Y,203,47,0,0,8,WD ,277500,2
2450,10019,AllPub,NoRidge,1Fam,2Story,8,5,PConc,Unf,1342.0,GasA,1358,1368,2726,0.0,0.0,2,1,4,1,Gd,9,1,Attchd,3.0,725.0,Y,307,169,168,0,6,WD ,350000,11
1013,15401,AllPub,StoneBr,1Fam,1Story,9,5,PConc,Unf,1884.0,GasA,1884,0,1884,1.0,0.0,2,0,2,1,Ex,7,1,Attchd,3.0,670.0,Y,214,76,0,0,9,WD ,387000,4
2084,9098,AllPub,Edwards,1Fam,1Story,4,7,BrkTil,Unf,528.0,GasA,605,0,605,1.0,0.0,1,0,2,1,TA,5,0,,0.0,0.0,N,0,0,144,0,7,WD ,86000,87
1184,16280,AllPub,Veenker,1Fam,1Story,8,9,CBlock,Rec,1426.0,GasA,1671,0,1671,1.0,0.0,3,0,3,1,Ex,6,1,Attchd,2.0,550.0,Y,280,90,0,0,5,WD ,290000,32
728,9392,AllPub,IDOTRR,1Fam,1Story,3,3,CBlock,Unf,245.0,GasA,797,0,797,0.0,0.0,1,0,2,1,TA,5,0,,0.0,0.0,N,0,36,94,0,9,WD ,44000,109
950,12209,AllPub,Mitchel,1Fam,2Story,6,5,PConc,Unf,804.0,GasA,804,1157,1961,1.0,0.0,2,1,3,1,Gd,7,1,BuiltIn,2.0,560.0,Y,125,192,0,0,6,WD ,215000,8
2524,13110,AllPub,NWAmes,2fmCon,1Story,5,6,CBlock,Unf,1153.0,GasA,1193,0,1193,1.0,0.0,2,0,2,1,TA,6,0,Attchd,2.0,501.0,Y,140,153,0,0,7,WD ,146500,34
2513,2651,AllPub,Somerst,Twnhs,2Story,7,5,PConc,Unf,673.0,GasA,673,709,1382,1.0,0.0,2,1,3,1,Gd,6,0,Detchd,2.0,490.0,Y,153,50,0,0,4,WD ,165000,6
2028,8520,AllPub,OldTown,1Fam,1.5Fin,6,7,BrkTil,LwQ,714.0,GasW,1664,862,2526,0.0,0.0,2,0,5,1,Gd,10,1,Detchd,1.0,216.0,Y,88,15,0,0,8,CWD,136000,91
2309,39384,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Unf,1705.0,GasA,1390,0,1390,1.0,0.0,1,1,1,1,Ex,4,2,Attchd,2.0,550.0,Y,0,189,0,0,10,WD ,252000,49
51,2628,AllPub,NridgHt,Twnhs,2Story,7,5,PConc,Unf,764.0,GasA,764,862,1626,0.0,0.0,2,1,2,1,Gd,6,0,BuiltIn,2.0,474.0,Y,0,27,0,0,6,WD ,175500,7
699,6406,AllPub,OldTown,1Fam,2Story,5,6,BrkTil,Unf,690.0,GasA,868,690,1558,0.0,0.0,1,1,3,1,TA,7,1,Detchd,2.0,400.0,Y,0,36,0,0,10,WD ,150000,70
1881,12342,AllPub,NAmes,1Fam,1Story,5,5,CBlock,Unf,978.0,GasA,1422,0,1422,0.0,0.0,1,0,3,1,TA,6,1,Attchd,1.0,286.0,Y,0,0,36,0,8,WD ,139900,47
1345,6240,AllPub,BrkSide,1Fam,1.5Fin,5,7,PConc,Unf,1078.0,GasA,1128,445,1573,0.0,0.0,2,0,3,1,TA,8,1,Detchd,2.0,360.0,P,0,0,0,0,6,WD ,162900,78
166,10000,AllPub,NAmes,1Fam,1Story,6,6,CBlock,Unf,1116.0,GasA,1116,0,1116,0.0,0.0,1,1,3,1,TA,5,0,Attchd,2.0,440.0,Y,0,0,0,0,2,WD ,160000,48
781,9000,AllPub,Sawyer,1Fam,1Story,2,2,Slab,,0.0,GasA,660,0,660,0.0,0.0,1,0,2,1,Fa,5,0,,0.0,0.0,N,0,0,100,0,6,WD ,63900,62
379,11088,AllPub,NWAmes,1Fam,1Story,6,5,PConc,Unf,1140.0,GasA,1707,0,1707,0.0,0.0,2,0,3,1,TA,7,1,Attchd,2.0,479.0,Y,0,0,0,0,5,WD ,184000,31
2818,17755,AllPub,Edwards,1Fam,1Story,5,4,CBlock,Unf,1466.0,GasA,1466,0,1466,0.0,0.0,1,1,3,1,Fa,6,2,Attchd,2.0,528.0,Y,0,140,0,0,11,WD ,149900,47
1168,4765,AllPub,Somerst,TwnhsE,1Story,9,5,PConc,Unf,1614.0,GasA,1638,0,1638,1.0,0.0,2,0,2,1,Ex,5,1,Attchd,2.0,495.0,Y,230,68,0,0,7,WD ,300000,8
1396,10532,AllPub,ClearCr,1Fam,1Story,5,3,CBlock,Unf,988.0,GasA,1721,0,1721,1.0,0.0,2,0,3,1,TA,7,2,Basment,2.0,626.0,Y,50,84,0,0,12,WD ,145000,48
838,15426,AllPub,CollgCr,1Fam,2Story,6,5,PConc,Unf,928.0,GasA,928,836,1764,1.0,0.0,2,1,3,1,Gd,7,0,Attchd,2.0,470.0,Y,276,99,0,0,8,WD ,231500,12
