lot_frontage,lot_area,utilities,neighborhood,bldg_type,house_style,overall_qual,foundation,bsmt_cond,bsmtfin_type_1,bsmtfin_sf_1,total_bsmt_sf,heating,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,pool_area,sale_type,saleprice,age,garage_age
60.0,8428,AllPub,CollgCr,1Fam,1Story,5,PConc,Gd,GLQ,420.0,990.0,GasA,990,990,1.0,1,0,TA,5,0,Detchd,1.0,384.0,Y,256,0,0,WD ,146000,13,12.0
75.0,9937,AllPub,Edwards,1Fam,1Story,5,CBlock,TA,BLQ,830.0,1256.0,GasA,1256,1256,1.0,1,1,TA,6,0,Attchd,1.0,276.0,Y,736,68,0,WD ,147500,43,43.0
107.0,13891,AllPub,NridgHt,1Fam,1Story,10,PConc,Gd,GLQ,1386.0,2076.0,GasA,2076,2076,1.0,2,1,Ex,7,1,Attchd,3.0,850.0,Y,216,229,0,New,465000,0,0.0
75.47692307692307,9101,AllPub,Mitchel,1Fam,SFoyer,5,PConc,TA,GLQ,1097.0,1097.0,GasA,1110,1110,1.0,1,0,Gd,4,1,Attchd,2.0,602.0,Y,303,30,0,WD ,165500,31,31.0
81.0,12150,AllPub,OldTown,1Fam,1.5Fin,5,BrkTil,TA,Unf,0.0,1050.0,GasA,1050,1795,0.0,2,0,TA,7,0,Attchd,1.0,352.0,Y,0,0,0,WD ,131500,54,54.0
70.0,11200,AllPub,Sawyer,1Fam,1Story,5,CBlock,TA,Rec,906.0,1040.0,GasA,1040,1040,1.0,1,0,TA,5,0,Detchd,1.0,384.0,Y,0,0,0,WD ,129500,43,43.0
100.0,9670,AllPub,Crawfor,1Fam,2Story,8,PConc,Fa,LwQ,210.0,608.0,GasA,983,1873,0.0,1,1,TA,9,2,Detchd,2.0,786.0,Y,0,0,0,WD ,257076,73,73.0
60.0,10998,AllPub,Edwards,1Fam,1.5Fin,5,CBlock,TA,LwQ,408.0,984.0,GasA,984,1604,0.0,2,0,TA,6,0,Detchd,2.0,660.0,Y,0,68,0,WD ,117000,68,32.0
60.0,7200,AllPub,Crawfor,1Fam,2Story,7,BrkTil,TA,Unf,0.0,776.0,GasA,851,1502,0.0,1,1,TA,6,1,Attchd,1.0,270.0,P,0,0,0,WD ,149000,77,77.0
80.0,9920,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,Rec,354.0,1056.0,GasA,1063,1063,1.0,1,0,TA,6,0,Attchd,1.0,280.0,Y,0,0,0,WD ,128000,56,56.0
36.0,2448,AllPub,NridgHt,Twnhs,2Story,7,PConc,TA,Unf,0.0,764.0,GasA,764,1626,0.0,2,1,Gd,6,0,BuiltIn,2.0,474.0,Y,0,27,0,WD ,155000,5,5.0
63.98290598290598,2998,AllPub,Somerst,TwnhsE,2Story,6,PConc,TA,GLQ,353.0,756.0,GasA,768,1524,0.0,2,1,Gd,4,0,Detchd,2.0,440.0,Y,0,32,0,WD ,166000,6,6.0
65.0,7804,AllPub,SWISU,1Fam,1.5Fin,4,BrkTil,TA,BLQ,622.0,1122.0,GasA,1328,1981,1.0,2,0,Gd,7,2,Detchd,2.0,576.0,Y,431,44,0,WD ,135000,81,28.0
80.0,16692,AllPub,NWAmes,1Fam,2Story,7,CBlock,TA,BLQ,790.0,1392.0,GasA,1392,2784,1.0,3,1,Gd,12,2,Attchd,2.0,564.0,Y,0,112,519,WD ,250000,28,28.0
21.0,1476,AllPub,MeadowV,Twnhs,2Story,4,CBlock,TA,GLQ,176.0,546.0,GasA,546,1092,0.0,1,1,TA,5,0,,0.0,0.0,Y,200,26,0,WD ,76000,40,0.0
75.0,10170,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,Unf,0.0,216.0,GasA,1575,1575,0.0,1,1,Gd,5,1,Attchd,2.0,400.0,Y,0,0,0,WD ,155000,55,55.0
80.0,9364,AllPub,Sawyer,1Fam,2Story,6,CBlock,TA,ALQ,371.0,663.0,GasA,663,1352,0.0,1,1,TA,7,0,Attchd,1.0,299.0,Y,379,36,0,WD ,158000,41,41.0
24.0,2544,AllPub,Somerst,Twnhs,2Story,7,PConc,TA,GLQ,368.0,600.0,GasA,600,1200,1.0,2,1,Gd,4,0,Detchd,2.0,480.0,Y,0,172,0,WD ,149500,6,6.0
82.0,9888,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,BLQ,486.0,936.0,GasA,936,936,0.0,1,0,TA,5,0,Attchd,1.0,240.0,Y,0,0,0,WD ,121000,52,52.0
68.0,7942,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,Rec,85.0,1040.0,GasA,1040,1040,0.0,1,0,TA,6,0,Attchd,1.0,293.0,Y,0,0,0,WD ,136000,54,54.0
72.02564102564102,15038,AllPub,Gilbert,1Fam,2Story,6,PConc,TA,Rec,138.0,916.0,GasA,916,1636,0.0,2,1,TA,7,1,Attchd,2.0,386.0,Y,168,84,0,WD ,173000,12,12.0
92.0,11764,AllPub,NoRidge,1Fam,2Story,8,PConc,TA,GLQ,524.0,1152.0,GasA,1164,2270,0.0,2,1,Gd,9,1,Attchd,3.0,671.0,Y,132,57,0,WD ,290000,11,11.0
75.0,9000,AllPub,Somerst,1Fam,2Story,8,PConc,TA,GLQ,64.0,1184.0,GasA,1184,2610,0.0,2,1,Ex,11,1,BuiltIn,2.0,550.0,Y,208,364,0,New,303477,0,0.0
92.5,20062,AllPub,ClearCr,1Fam,1Story,7,CBlock,TA,ALQ,1092.0,1420.0,GasA,1483,1483,1.0,1,1,TA,4,2,Attchd,2.0,690.0,Y,496,0,0,WD ,270000,33,33.0
81.0,7308,AllPub,OldTown,1Fam,1.5Fin,5,BrkTil,TA,Rec,360.0,936.0,GasA,960,1740,0.0,1,0,Ex,6,1,Detchd,1.0,225.0,N,0,0,0,WD ,122250,88,88.0
70.0,8750,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,Rec,172.0,1382.0,GasA,1382,1382,0.0,1,0,Gd,6,0,Attchd,1.0,350.0,Y,280,0,0,WD ,153000,54,54.0
70.0,8402,AllPub,Mitchel,1Fam,1Story,5,PConc,TA,ALQ,206.0,1120.0,GasA,1120,1120,0.0,1,0,TA,6,0,,0.0,0.0,Y,0,30,0,New,147000,0,0.0
63.0,4000,AllPub,Crawfor,1Fam,2Story,7,BrkTil,TA,GLQ,246.0,531.0,GasA,567,1098,1.0,1,0,TA,5,1,Detchd,1.0,216.0,Y,0,0,0,WD ,148500,77,77.0
32.0,3363,AllPub,Edwards,TwnhsE,2Story,7,PConc,TA,Unf,0.0,976.0,GasA,976,1708,0.0,2,0,Gd,7,0,Detchd,2.0,380.0,Y,0,40,0,WD ,130000,2,2.0
94.0,13615,AllPub,NridgHt,1Fam,1Story,9,PConc,TA,Unf,0.0,1802.0,GasA,1802,1802,0.0,2,1,Ex,7,1,Attchd,3.0,843.0,Y,158,105,0,WD ,372000,1,1.0
43.0,3013,AllPub,Blmngtn,TwnhsE,1Story,7,PConc,TA,GLQ,16.0,1362.0,GasA,1506,1506,0.0,2,0,Gd,6,1,Attchd,2.0,440.0,Y,142,20,0,WD ,213490,1,1.0
44.0,17485,AllPub,Edwards,1Fam,1Story,7,PConc,TA,GLQ,1346.0,1508.0,GasA,1508,1508,1.0,1,0,Gd,5,2,Attchd,2.0,572.0,Y,0,0,0,Con,308030,1,1.0
75.47692307692307,23730,AllPub,Mitchel,1Fam,1Story,7,PConc,TA,GLQ,700.0,1840.0,GasA,2032,2032,1.0,3,0,Gd,7,0,Attchd,3.0,786.0,Y,0,46,0,WD ,300000,12,12.0
79.0,8910,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,ALQ,655.0,655.0,GasA,1194,1194,0.0,1,0,TA,6,1,BuiltIn,2.0,539.0,Y,0,0,0,WD ,159500,47,52.0
24.0,2522,AllPub,Edwards,Twnhs,2Story,7,PConc,TA,Unf,0.0,970.0,GasA,970,1709,0.0,2,0,Gd,7,0,Detchd,2.0,380.0,Y,0,40,0,WD ,137500,2,2.0
73.0,8688,AllPub,Somerst,1Fam,1Story,7,PConc,TA,Unf,0.0,1616.0,GasA,1616,1616,0.0,2,0,Gd,7,0,Attchd,3.0,834.0,Y,208,59,0,WD ,232000,1,1.0
61.890625,6291,AllPub,IDOTRR,1Fam,1Story,6,BrkTil,TA,Unf,0.0,768.0,GasA,768,768,0.0,1,0,TA,4,0,Detchd,2.0,440.0,N,0,0,0,WD ,93850,78,78.0
72.77464788732394,17529,AllPub,Sawyer,1Fam,1Story,5,BrkTil,TA,Unf,0.0,872.0,GasA,872,872,0.0,1,0,Fa,5,1,Detchd,1.0,322.0,N,0,0,0,WD ,105000,82,82.0
60.0,6324,AllPub,BrkSide,1Fam,1Story,4,BrkTil,TA,Unf,0.0,520.0,GasA,520,520,0.0,1,0,Fa,4,0,Detchd,1.0,240.0,Y,49,0,0,WD ,68500,81,88.0
80.0,11600,AllPub,NAmes,Duplex,2Story,5,CBlock,TA,Rec,443.0,1105.0,GasA,1105,2274,0.0,2,0,TA,12,0,Detchd,2.0,480.0,Y,0,0,0,WD ,154300,50,50.0
35.0,4571,AllPub,OldTown,1Fam,2Story,5,BrkTil,TA,BLQ,168.0,616.0,GasA,616,1232,0.0,1,0,TA,6,0,Detchd,2.0,480.0,Y,280,0,0,WD ,114000,97,87.0
63.0,17423,AllPub,StoneBr,1Fam,1Story,9,PConc,TA,GLQ,1904.0,2216.0,GasA,2234,2234,1.0,2,0,Ex,9,1,Attchd,3.0,1166.0,Y,0,60,0,New,501837,1,0.0
100.0,12665,AllPub,OldTown,1Fam,1.5Fin,5,BrkTil,TA,Unf,0.0,876.0,GasA,876,1416,0.0,1,1,TA,7,1,Detchd,3.0,720.0,Y,418,0,0,WD ,153900,93,59.0
60.0,9000,AllPub,NAmes,1Fam,1Story,4,CBlock,TA,ALQ,240.0,864.0,GasA,864,864,0.0,1,0,TA,5,0,Detchd,2.0,576.0,Y,200,0,0,WD ,130000,38,23.0
32.0,4500,AllPub,Mitchel,TwnhsE,1Story,6,PConc,TA,GLQ,864.0,1189.0,GasA,1189,1189,1.0,2,0,TA,4,0,Attchd,2.0,392.0,Y,0,122,0,WD ,160500,11,11.0
48.0,6373,AllPub,NridgHt,TwnhsE,1Story,9,PConc,Gd,GLQ,415.0,1666.0,GasA,1666,1666,1.0,2,0,Gd,6,1,Attchd,2.0,575.0,Y,228,75,0,New,310090,0,0.0
67.0,10083,AllPub,SawyerW,1Fam,1Story,7,PConc,TA,GLQ,833.0,1176.0,GasA,1200,1200,1.0,2,0,Gd,5,0,Attchd,2.0,555.0,Y,0,41,0,WD ,184900,6,6.0
70.0,13300,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,Rec,377.0,928.0,GasA,928,928,0.0,1,0,TA,4,0,Attchd,1.0,252.0,Y,261,0,0,WD ,132000,51,51.0
80.0,9600,AllPub,NWAmes,1Fam,1Story,5,CBlock,TA,ALQ,553.0,1288.0,GasA,1336,1336,0.0,2,0,TA,6,1,Attchd,2.0,502.0,Y,312,11,0,WD ,163000,40,40.0
30.0,3215,AllPub,Somerst,TwnhsE,2Story,7,PConc,TA,GLQ,280.0,600.0,GasA,600,1200,0.0,2,1,Gd,4,0,Detchd,2.0,480.0,Y,0,172,0,ConLD,155000,6,6.0
80.96551724137932,11104,AllPub,NWAmes,1Fam,SLvl,6,CBlock,TA,GLQ,828.0,1427.0,GasA,1427,1427,0.0,2,0,TA,7,0,Attchd,2.0,516.0,Y,0,0,0,WD ,183000,39,39.0
70.75324675324676,15295,AllPub,CollgCr,1Fam,2Story,7,PConc,TA,GLQ,762.0,860.0,GasA,1212,1992,1.0,2,1,Gd,7,2,Attchd,2.0,608.0,Y,225,32,0,WD ,211000,11,11.0
70.0,9109,AllPub,SawyerW,1Fam,2Story,7,PConc,TA,LwQ,36.0,754.0,GasA,754,1540,1.0,2,1,Gd,6,0,Attchd,2.0,495.0,Y,140,32,0,WD ,184000,15,15.0
64.0,7018,AllPub,SawyerW,Duplex,1Story,5,Slab,,,0.0,0.0,GasA,1535,1535,0.0,2,0,TA,8,0,Attchd,2.0,400.0,Y,0,0,0,WD ,118858,30,30.0
75.19245283018869,14112,AllPub,NAmes,1Fam,SLvl,5,PConc,TA,GLQ,1014.0,1152.0,GasA,1152,1152,1.0,1,0,TA,6,1,Attchd,2.0,484.0,Y,227,0,0,WD ,180500,46,46.0
80.0,3523,AllPub,Somerst,TwnhsE,1Story,8,PConc,TA,GLQ,60.0,1141.0,GasA,1151,1151,1.0,2,0,Gd,5,0,Attchd,2.0,484.0,Y,0,60,0,New,166000,1,1.0
88.0,15312,AllPub,Sawyer,1Fam,SLvl,6,CBlock,TA,BLQ,588.0,1138.0,GasA,1138,1138,0.0,1,0,TA,6,1,Attchd,2.0,480.0,Y,0,0,0,COD,148000,49,49.0
74.0,7450,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,Rec,438.0,894.0,GasA,1074,1074,0.0,1,0,Gd,6,1,Detchd,2.0,396.0,Y,0,72,0,WD ,124000,51,41.0
60.0,7313,AllPub,NridgHt,TwnhsE,1Story,9,PConc,TA,GLQ,1153.0,1561.0,GasA,1561,1561,1.0,2,0,Ex,6,1,Attchd,2.0,556.0,Y,203,47,0,WD ,277500,2,2.0
83.0,10019,AllPub,NoRidge,1Fam,2Story,8,PConc,TA,ALQ,527.0,1342.0,GasA,1358,2726,0.0,2,1,Gd,9,1,Attchd,3.0,725.0,Y,307,169,0,WD ,350000,11,11.0
53.0,15401,AllPub,StoneBr,1Fam,1Story,9,PConc,TA,GLQ,1337.0,1884.0,GasA,1884,1884,1.0,2,0,Ex,7,1,Attchd,3.0,670.0,Y,214,76,0,WD ,387000,4,4.0
58.0,9098,AllPub,Edwards,1Fam,1Story,4,BrkTil,TA,ALQ,348.0,528.0,GasA,605,605,1.0,1,0,TA,5,0,,0.0,0.0,N,0,0,0,WD ,86000,87,0.0
72.0,9392,AllPub,IDOTRR,1Fam,1Story,3,CBlock,TA,Unf,0.0,245.0,GasA,797,797,0.0,1,0,TA,5,0,,0.0,0.0,N,0,36,0,WD ,44000,109,0.0
71.0,12209,AllPub,Mitchel,1Fam,2Story,6,PConc,TA,ALQ,690.0,804.0,GasA,804,1961,1.0,2,1,Gd,7,1,BuiltIn,2.0,560.0,Y,125,192,0,WD ,215000,8,8.0
79.0,13110,AllPub,NWAmes,2fmCon,1Story,5,CBlock,TA,GLQ,962.0,1153.0,GasA,1193,1193,1.0,2,0,TA,6,0,Attchd,2.0,501.0,Y,140,153,0,WD ,146500,34,34.0
63.98290598290598,2651,AllPub,Somerst,Twnhs,2Story,7,PConc,TA,GLQ,641.0,673.0,GasA,673,1382,1.0,2,1,Gd,6,0,Detchd,2.0,490.0,Y,153,50,0,WD ,165000,6,6.0
60.0,8520,AllPub,OldTown,1Fam,1.5Fin,6,BrkTil,TA,Rec,168.0,714.0,GasW,1664,2526,0.0,2,0,Gd,10,1,Detchd,1.0,216.0,Y,88,15,0,CWD,136000,91,91.0
75.19245283018869,39384,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,ALQ,1110.0,1705.0,GasA,1390,1390,1.0,1,1,Ex,4,2,Attchd,2.0,550.0,Y,0,189,0,WD ,252000,49,49.0
36.0,2628,AllPub,NridgHt,Twnhs,2Story,7,PConc,TA,Unf,0.0,764.0,GasA,764,1626,0.0,2,1,Gd,6,0,BuiltIn,2.0,474.0,Y,0,27,0,WD ,175500,7,7.0
57.0,6406,AllPub,OldTown,1Fam,2Story,5,BrkTil,TA,ALQ,421.0,690.0,GasA,868,1558,0.0,1,1,TA,7,1,Detchd,2.0,400.0,Y,0,36,0,WD ,150000,70,70.0
75.19245283018869,12342,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,Unf,0.0,978.0,GasA,1422,1422,0.0,1,0,TA,6,1,Attchd,1.0,286.0,Y,0,0,0,WD ,139900,47,47.0
52.0,6240,AllPub,BrkSide,1Fam,1.5Fin,5,PConc,TA,Unf,0.0,1078.0,GasA,1128,1573,0.0,2,0,TA,8,1,Detchd,2.0,360.0,P,0,0,0,WD ,162900,78,78.0
87.0,10000,AllPub,NAmes,1Fam,1Story,6,CBlock,TA,Unf,0.0,1116.0,GasA,1116,1116,0.0,1,1,TA,5,0,Attchd,2.0,440.0,Y,0,0,0,WD ,160000,48,48.0
72.77464788732394,9000,AllPub,Sawyer,1Fam,1Story,2,Slab,,,0.0,0.0,GasA,660,660,0.0,1,0,Fa,5,0,,0.0,0.0,N,0,0,0,WD ,63900,62,0.0
80.0,11088,AllPub,NWAmes,1Fam,1Story,6,PConc,TA,ALQ,832.0,1140.0,GasA,1707,1707,0.0,2,0,TA,7,1,Attchd,2.0,479.0,Y,0,0,0,WD ,184000,31,31.0
134.0,17755,AllPub,Edwards,1Fam,1Story,5,CBlock,TA,BLQ,176.0,1466.0,GasA,1466,1466,0.0,1,1,Fa,6,2,Attchd,2.0,528.0,Y,0,140,0,WD ,149900,47,47.0
63.98290598290598,4765,AllPub,Somerst,TwnhsE,1Story,9,PConc,TA,GLQ,1027.0,1614.0,GasA,1638,1638,1.0,2,0,Ex,5,1,Attchd,2.0,495.0,Y,230,68,0,WD ,300000,8,8.0
92.5,10532,AllPub,ClearCr,1Fam,1Story,5,CBlock,TA,Rec,988.0,988.0,GasA,1721,1721,1.0,2,0,TA,7,2,Basment,2.0,626.0,Y,50,84,0,WD ,145000,48,48.0
65.0,15426,AllPub,CollgCr,1Fam,2Story,6,PConc,TA,GLQ,821.0,928.0,GasA,928,1764,1.0,2,1,Gd,7,0,Attchd,2.0,470.0,Y,276,99,0,WD ,231500,12,12.0
63.0,13907,AllPub,Edwards,1Fam,1Story,5,CBlock,TA,BLQ,290.0,996.0,GasA,996,996,1.0,1,0,TA,6,1,,0.0,0.0,Y,144,0,0,WD ,108000,68,0.0
70.0,8750,AllPub,NAmes,1Fam,1Story,5,CBlock,TA,Rec,435.0,1202.0,GasA,1202,1202,0.0,1,0,TA,6,0,Attchd,1.0,304.0,Y,0,35,0,COD,120000,53,53.0
72.77464788732394,9945,AllPub,Sawyer,1Fam,1Story,5,CBlock,TA,Rec,827.0,988.0,GasA,988,988,1.0,1,0,TA,5,0,Detchd,2.0,572.0,Y,0,0,0,WD ,128500,46,44.0
56.0,8960,AllPub,OldTown,1Fam,1Story,5,CBlock,TA,Unf,0.0,1008.0,GasA,1028,1028,0.0,1,0,TA,5,1,Detchd,2.0,360.0,Y,0,0,0,WD ,115000,83,83.0
50.0,3500,AllPub,OldTown,1Fam,1.5Fin,5,CBlock,TA,LwQ,312.0,720.0,GasA,720,1284,0.0,1,1,TA,5,0,Detchd,1.0,240.0,Y,0,35,0,WD ,110000,62,61.0
